type,id,brand,model,year,tire_type,inner_tube,price_range,width_specified,width_measured,width_specified_unit,weight_specified,weight_measured,tread,casing,perc_tread,rr_medium,rr_high,rr_extra_high,rr_ultra_high,wet_grip_average,wet_grip_center,wet_grip_edge,puncture_score_tread,puncture_score_sidewall,puncture_force_sharp_tread,puncture_force_sharp_sidewall,puncture_force_blunt_tread,puncture_force_blunt_sidewall,tire_thickness_tread,tire_thickness_sidewall,rating,replaced,rr_extra_low,rr_low,knob_height_center,knob_height_edge
road,vittoria-corsa-pro-speed-tlr,Vittoria,Corsa Pro Speed TLR 28,2024.0,TLR,None,High+,28.0,27.9,mm,250.0,240.0,30.0,74.0,41.0,8.1,6.7,6.0,5.6,72.0,71.0,72.0,25.0,11.0,7.8,4.6,7.2,3.6,1.3,0.7,5.0,False,,,,
road,veloflex-record-tlr,Veloflex,Record TLR 25,2023.0,TLR,None,High+,25.0,26.3,mm,175.0,170.0,32.0,69.0,46.0,9.0,7.7,6.8,6.3,74.0,76.0,72.0,27.0,13.0,9.4,5.0,7.8,4.8,1.1,0.75,5.0,False,,,,
road,vittoria-corsa-speed-g2,Vittoria,Corsa Speed G+ 2.0 (TLR) 25,2019.0,TLR,None,High,25.0,26.5,mm,240.0,227.0,25.0,70.0,36.0,9.3,8.3,7.5,7.0,70.0,74.0,67.0,33.0,12.0,8.4,4.2,9.0,4.2,1.8,0.85,5.0,True,,,,
road,continental-grand-prix-5000-tt-tr,Continental,Grand Prix 5000 TT TR 28,2023.0,TLR,None,High+,28.0,29.1,mm,245.0,250.0,31.0,75.0,41.0,9.6,8.3,7.6,7.1,66.0,67.0,65.0,33.0,12.0,8.2,4.4,8.8,4.0,1.9,0.8,4.8,False,,,,
road,continental-grand-prix-5000-tt-tdf,Continental,Grand Prix 5000 TT TR (TdF) 25,2022.0,TLR,None,High+,25.0,26.0,mm,215.0,210.0,28.0,66.0,42.0,9.8,8.4,7.6,7.2,69.0,70.0,67.0,31.0,13.0,7.6,5.2,8.8,4.0,1.8,0.8,4.5,False,,,,
road,schwalbe-pro-one-tt-tle,Schwalbe,Pro One TT TLE Addix 25,2020.0,TLR,None,High,25.0,26.9,mm,205.0,222.0,32.0,66.0,48.0,10.7,9.0,8.1,7.5,55.0,53.0,58.0,24.0,15.0,6.2,5.2,7.0,5.4,1.6,0.9,3.5,False,,,,
road,vittoria-corsa-speed-2016,Vittoria,Corsa Speed G+ 1.0 (TLR) 23,2016.0,TLR,None,High,23.0,24.8,mm,205.0,225.0,25.0,66.0,38.0,10.9,9.2,8.3,7.7,,,,31.0,14.0,8.4,5.0,,,1.7,0.85,5.0,True,,,,
road,enve-raceday,Enve,SES Raceday 29,2024.0,TLR,None,High+,29.0,29.9,mm,210.0,214.0,36.0,76.0,47.0,10.8,9.3,8.2,7.8,80.0,79.0,81.0,37.0,15.0,10.2,6.0,9.6,5.8,1.7,0.5,5.0,False,,,,
road,continental-grand-prix-5000-tl-2018,Continental,Grand Prix 5000 TL 25,2018.0,TLR,None,High,25.0,26.8,mm,300.0,295.0,27.0,66.0,41.0,11.6,9.9,8.9,8.3,65.0,64.0,67.0,47.0,15.0,10.0,6.0,9.6,4.4,2.8,0.95,5.0,True,,,,
road,continental-grand-prix-5000-s-tr,Continental,Grand Prix 5000 S TR 25,2021.0,TLR,None,High+,25.0,25.5,mm,250.0,255.0,27.0,64.0,42.0,11.8,10.1,9.1,8.4,66.0,67.0,65.0,36.0,17.0,7.6,5.8,9.2,6.0,2.3,0.9,4.6,False,,,,
